session_id,wall_time,frame_n,elapsed_ms,scenario_id,scenario_desc,exp_n_targets,exp_obstacle,exp_obstacle_mm,exp_range_m,exp_angle_deg,target_id,r_m,x_m,y_m,angle_deg,speed_m_s,event_marker
20f7631e,2026-05-02T23:20:42.577,2521,108,,(no scenario),,,,,,P1,0.4421,-0.067,0.437,-8.717,0.0,SCENARIO_START
20f7631e,2026-05-02T23:20:42.666,2522,198,,(no scenario),,,,,,P1,0.4381,-0.089,0.429,-11.72,0.0,
20f7631e,2026-05-02T23:20:42.777,2523,309,,(no scenario),,,,,,P1,0.4279,-0.108,0.414,-14.621,0.0,
20f7631e,2026-05-02T23:20:42.866,2524,397,,(no scenario),,,,,,P1,0.4318,-0.126,0.413,-16.966,0.0,
20f7631e,2026-05-02T23:20:42.967,2525,499,,(no scenario),,,,,,P1,0.4491,-0.151,0.423,-19.645,0.0,
20f7631e,2026-05-02T23:20:43.076,2526,607,,(no scenario),,,,,,P1,0.4517,-0.153,0.425,-19.799,0.0,
20f7631e,2026-05-02T23:20:43.168,2527,700,,(no scenario),,,,,,P1,0.4209,-0.118,0.404,-16.282,0.0,
20f7631e,2026-05-02T23:20:43.293,2528,825,,(no scenario),,,,,,P1,0.4018,-0.079,0.394,-11.338,0.0,
20f7631e,2026-05-02T23:20:43.372,2530,904,,(no scenario),,,,,,P1,0.3537,0.044,0.351,7.145,0.0,
20f7631e,2026-05-02T23:20:43.466,2531,998,,(no scenario),,,,,,P1,0.3279,0.101,0.312,17.938,0.0,
20f7631e,2026-05-02T23:20:43.567,2532,1099,,(no scenario),,,,,,P1,0.342,0.14,0.312,24.167,0.0,
20f7631e,2026-05-02T23:20:43.665,2533,1197,,(no scenario),,,,,,P1,0.302,0.073,0.293,13.99,0.0,
20f7631e,2026-05-02T23:20:43.783,2534,1315,,(no scenario),,,,,,P1,0.2941,0.006,0.294,1.169,0.0,
20f7631e,2026-05-02T23:20:43.867,2535,1399,,(no scenario),,,,,,P1,0.3052,-0.01,0.305,-1.878,0.0,
20f7631e,2026-05-02T23:20:43.974,2536,1506,,(no scenario),,,,,,P1,0.3233,-0.014,0.323,-2.482,0.0,
20f7631e,2026-05-02T23:20:44.067,2537,1599,,(no scenario),,,,,,P1,0.3425,-0.019,0.342,-3.18,0.0,
20f7631e,2026-05-02T23:20:44.185,2539,1717,,(no scenario),,,,,,P1,0.3871,-0.049,0.384,-7.272,0.0,
20f7631e,2026-05-02T23:20:44.269,2540,1801,,(no scenario),,,,,,P1,0.408,-0.075,0.401,-10.594,0.0,
20f7631e,2026-05-02T23:20:44.388,2541,1919,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4269,-0.104,0.414,-14.101,0.0,SCENARIO_START
20f7631e,2026-05-02T23:20:44.467,2542,1999,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4339,-0.133,0.413,-17.85,0.0,
20f7631e,2026-05-02T23:20:44.573,2543,2104,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4408,-0.14,0.418,-18.517,0.0,
20f7631e,2026-05-02T23:20:44.671,2544,2203,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4577,-0.133,0.438,-16.891,0.0,
20f7631e,2026-05-02T23:20:44.776,2545,2308,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4797,-0.129,0.462,-15.601,0.0,
20f7631e,2026-05-02T23:20:44.866,2546,2398,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4907,-0.127,0.474,-14.999,0.0,
20f7631e,2026-05-02T23:20:44.978,2548,2510,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4975,-0.127,0.481,-14.79,0.0,
20f7631e,2026-05-02T23:20:45.066,2549,2598,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.5014,-0.131,0.484,-15.145,0.0,
20f7631e,2026-05-02T23:20:45.173,2550,2705,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.5025,-0.135,0.484,-15.585,0.08,
20f7631e,2026-05-02T23:20:45.276,2551,2808,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.5019,-0.14,0.482,-16.196,0.0,
20f7631e,2026-05-02T23:20:45.368,2552,2900,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4931,-0.149,0.47,-17.59,0.0,
20f7631e,2026-05-02T23:20:45.476,2553,3007,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4833,-0.145,0.461,-17.46,0.0,
20f7631e,2026-05-02T23:20:45.565,2554,3097,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4744,-0.131,0.456,-16.028,0.0,
20f7631e,2026-05-02T23:20:45.685,2555,3216,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4635,-0.111,0.45,-13.856,0.0,
20f7631e,2026-05-02T23:20:45.766,2557,3297,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4752,-0.098,0.465,-11.901,0.0,
20f7631e,2026-05-02T23:20:45.872,2558,3404,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4787,-0.096,0.469,-11.568,0.0,
20f7631e,2026-05-02T23:20:45.979,2559,3511,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4821,-0.098,0.472,-11.73,0.0,
20f7631e,2026-05-02T23:20:46.068,2560,3600,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4852,-0.099,0.475,-11.773,0.0,
20f7631e,2026-05-02T23:20:46.191,2561,3723,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4868,-0.102,0.476,-12.095,0.0,
20f7631e,2026-05-02T23:20:46.267,2562,3798,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4867,-0.106,0.475,-12.58,0.0,
20f7631e,2026-05-02T23:20:46.380,2563,3912,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4883,-0.109,0.476,-12.898,0.0,
20f7631e,2026-05-02T23:20:46.467,2564,3999,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4904,-0.114,0.477,-13.441,0.0,
20f7631e,2026-05-02T23:20:46.580,2565,4112,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4926,-0.119,0.478,-13.98,0.0,
20f7631e,2026-05-02T23:20:46.667,2567,4199,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4837,-0.11,0.471,-13.146,0.0,
20f7631e,2026-05-02T23:20:46.782,2568,4314,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4705,-0.094,0.461,-11.525,0.0,
20f7631e,2026-05-02T23:20:46.866,2569,4397,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4442,-0.053,0.441,-6.853,0.0,
20f7631e,2026-05-02T23:20:46.967,2570,4499,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4151,-0.01,0.415,-1.38,0.0,
20f7631e,2026-05-02T23:20:47.079,2571,4611,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3632,0.067,0.357,10.629,0.0,
20f7631e,2026-05-02T23:20:47.167,2572,4699,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.364,0.116,0.345,18.584,0.0,
20f7631e,2026-05-02T23:20:47.282,2573,4814,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3632,0.125,0.341,20.131,0.0,
20f7631e,2026-05-02T23:20:47.366,2574,4898,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.354,0.147,0.322,24.538,0.0,
20f7631e,2026-05-02T23:20:47.484,2576,5015,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3516,0.164,0.311,27.804,0.0,
20f7631e,2026-05-02T23:20:47.567,2577,5098,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3452,0.176,0.297,30.651,0.0,
20f7631e,2026-05-02T23:20:47.690,2578,5222,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3388,0.202,0.272,36.599,0.0,
20f7631e,2026-05-02T23:20:47.768,2579,5300,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3618,0.208,0.296,35.096,0.0,
20f7631e,2026-05-02T23:20:47.875,2580,5407,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3698,0.18,0.323,29.13,0.0,
20f7631e,2026-05-02T23:20:47.967,2581,5499,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3678,0.116,0.349,18.386,0.0,
20f7631e,2026-05-02T23:20:48.078,2582,5610,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3666,0.064,0.361,10.053,0.0,
20f7631e,2026-05-02T23:20:48.165,2583,5697,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3628,0.045,0.36,7.125,0.0,
20f7631e,2026-05-02T23:20:48.275,2585,5807,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3737,0.065,0.368,10.017,0.0,
20f7631e,2026-05-02T23:20:48.376,2586,5908,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3852,0.1,0.372,15.046,0.0,
20f7631e,2026-05-02T23:20:48.467,2587,5999,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3887,0.156,0.356,23.663,0.0,
20f7631e,2026-05-02T23:20:48.581,2588,6113,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4051,0.204,0.35,30.236,0.0,
20f7631e,2026-05-02T23:20:48.689,2589,6221,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3899,0.159,0.356,24.067,0.0,
20f7631e,2026-05-02T23:20:48.804,2590,6336,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.378,0.102,0.364,15.654,0.0,
20f7631e,2026-05-02T23:20:48.878,2591,6410,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3773,0.05,0.374,7.615,0.0,
20f7631e,2026-05-02T23:20:48.965,2592,6497,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.377,0.027,0.376,4.107,0.0,
20f7631e,2026-05-02T23:20:49.067,2594,6599,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3546,0.063,0.349,10.233,0.0,
20f7631e,2026-05-02T23:20:49.176,2595,6707,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3495,0.081,0.34,13.4,0.0,
20f7631e,2026-05-02T23:20:49.268,2596,6799,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.359,0.027,0.358,4.313,0.0,
20f7631e,2026-05-02T23:20:49.383,2597,6915,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3587,-0.022,0.358,-3.517,0.0,
20f7631e,2026-05-02T23:20:49.473,2598,7005,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3633,-0.062,0.358,-9.825,0.0,
20f7631e,2026-05-02T23:20:49.592,2599,7124,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3694,-0.095,0.357,-14.901,0.0,
20f7631e,2026-05-02T23:20:49.667,2600,7199,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3792,-0.122,0.359,-18.769,0.0,
20f7631e,2026-05-02T23:20:49.779,2601,7311,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3939,-0.143,0.367,-21.288,0.0,
20f7631e,2026-05-02T23:20:49.866,2603,7398,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4156,-0.177,0.376,-25.208,0.0,
20f7631e,2026-05-02T23:20:49.985,2604,7517,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4177,-0.19,0.372,-27.056,0.0,
20f7631e,2026-05-02T23:20:50.067,2605,7599,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4194,-0.203,0.367,-28.948,0.0,
20f7631e,2026-05-02T23:20:50.178,2606,7710,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4205,-0.214,0.362,-30.59,0.0,
20f7631e,2026-05-02T23:20:50.266,2607,7798,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4223,-0.224,0.358,-32.034,0.0,
20f7631e,2026-05-02T23:20:50.385,2608,7917,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4243,-0.234,0.354,-33.465,0.0,
20f7631e,2026-05-02T23:20:50.468,2609,8000,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4263,-0.242,0.351,-34.585,0.0,
20f7631e,2026-05-02T23:20:50.582,2610,8114,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4091,-0.226,0.341,-33.535,0.0,
20f7631e,2026-05-02T23:20:50.668,2612,8200,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3792,-0.185,0.331,-29.201,0.0,
20f7631e,2026-05-02T23:20:50.786,2613,8318,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3797,-0.175,0.337,-27.442,0.0,
20f7631e,2026-05-02T23:20:50.865,2614,8397,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3913,-0.175,0.35,-26.565,0.0,
20f7631e,2026-05-02T23:20:50.976,2615,8508,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3954,-0.17,0.357,-25.463,0.0,
20f7631e,2026-05-02T23:20:51.082,2616,8613,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4083,-0.166,0.373,-23.991,0.0,
20f7631e,2026-05-02T23:20:51.167,2617,8698,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4119,-0.166,0.377,-23.765,0.0,MARK
20f7631e,2026-05-02T23:20:51.278,2618,8810,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4127,-0.168,0.377,-24.019,0.0,
20f7631e,2026-05-02T23:20:51.368,2619,8900,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.4096,-0.167,0.374,-24.062,0.0,
20f7631e,2026-05-02T23:20:51.476,2621,9008,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3815,-0.137,0.356,-21.048,0.0,
20f7631e,2026-05-02T23:20:51.567,2622,9098,static_1m_normal,Стационарная цель на 1 м по нормали,1,none,0,1.0,0.0,P1,0.3736,-0.11,0.357,-17.125,0.0,
